city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Alfredo Chaves,ES,14636,17.13,2508,35,0.24,1.39,0,0
Alto Rio Novo,ES,7874,9.63,758,22,0.28,2.90,0,0
Anchieta,ES,29779,16.46,4902,88,0.30,1.79,2,0
Apiacá,ES,7554,11.61,877,34,0.45,3.87,1,0
Aracruz,ES,103101,16.31,16820,233,0.23,1.39,7,0
Atilio Vivacqua,ES,12105,12.94,1567,29,0.24,1.85,0,0
Baixo Guandu,ES,31132,12.13,3777,79,0.25,2.09,11,0
Barra de São Francisco,ES,44979,11.12,5004,205,0.46,4.10,19,0
Boa Esperança,ES,15092,11.08,1672,45,0.30,2.69,1,0
Bom Jesus do Norte,ES,9962,11.41,1137,29,0.29,2.55,0,0
Brejetuba,ES,12427,13.65,1697,14,0.11,0.82,3,0
Cachoeiro de Itapemirim,ES,210589,13.14,27673,579,0.27,2.09,37,0
Cariacica,ES,383917,10.93,41953,1364,0.36,3.25,23,2
Castelo,ES,37747,16.40,6189,121,0.32,1.95,19,0
Colatina,ES,123400,16.06,19822,341,0.28,1.72,26,0
Conceição da Barra,ES,31273,6.07,1898,60,0.19,3.16,2,0
Conceição do Castelo,ES,12806,11.77,1507,27,0.21,1.79,8,0
Divino de São Lourenço,ES,4270,10.61,453,10,0.23,2.20,0,0
Domingos Martins,ES,33986,12.53,4257,73,0.21,1.71,7,0
Dores do Rio Preto,ES,6771,11.18,757,13,0.19,1.72,1,0
Ecoporanga,ES,22835,15.87,3625,68,0.30,1.88,7,0
Fundão,ES,21948,12.44,2731,67,0.31,2.45,5,1
Governador Lindenberg,ES,12880,17.16,2210,29,0.23,1.31,0,0
Guarapari,ES,126701,13.20,16727,421,0.33,2.52,3,0
Guaçuí,ES,31122,9.10,2831,99,0.32,3.50,6,0
Ibatiba,ES,26426,14.55,3846,89,0.34,2.31,9,0
Ibiraçu,ES,12591,14.76,1859,42,0.33,2.26,5,0
Ibitirama,ES,8859,5.56,493,14,0.16,2.83,0,0
Iconha,ES,13973,19.59,2737,19,0.14,0.69,3,0
Irupi,ES,13526,12.55,1697,44,0.33,2.59,5,0
Itaguaçu,ES,14023,12.27,1721,19,0.14,1.10,7,0
Itapemirim,ES,34656,12.88,4464,141,0.41,3.16,3,0
Itarana,ES,10494,14.53,1525,25,0.24,1.64,1,0
Iúna,ES,29290,10.29,3015,81,0.28,2.69,6,0
Jaguaré,ES,31039,12.55,3897,51,0.16,1.31,6,0
Jerônimo Monteiro,ES,12265,10.93,1341,39,0.32,2.91,10,0
João Neiva,ES,16722,16.77,2805,53,0.32,1.89,7,0
Laranja da Terra,ES,10933,8.77,959,11,0.10,1.15,6,1
Linhares,ES,176688,15.39,27187,411,0.23,1.51,19,0
Mantenópolis,ES,15503,6.20,961,45,0.29,4.68,1,0
Marataízes,ES,38883,18.13,7050,199,0.51,2.82,6,1
Marechal Floriano,ES,16920,20.65,3495,51,0.30,1.46,4,0
Marilândia,ES,12963,16.31,2115,29,0.22,1.37,2,0
Mimoso do Sul,ES,26115,12.08,3156,55,0.21,1.74,0,-1
Montanha,ES,18894,9.22,1743,61,0.32,3.50,0,1
Mucurici,ES,5496,11.61,638,9,0.16,1.41,1,0
Muniz Freire,ES,17319,17.34,3004,46,0.27,1.53,3,0
Muqui,ES,15526,13.20,2050,52,0.33,2.54,15,0
Nova Venécia,ES,50434,12.50,6304,127,0.25,2.01,9,0
Pancas,ES,23306,10.77,2511,34,0.15,1.35,1,0
Pedro Canário,ES,26381,8.68,2290,60,0.23,2.62,-1,0
Pinheiros,ES,27327,12.91,3528,86,0.31,2.44,0,1
Piúma,ES,22053,12.33,2720,81,0.37,2.98,2,0
Ponto Belo,ES,7940,8.44,670,16,0.20,2.38,0,0
Presidente Kennedy,ES,11658,18.71,2181,52,0.45,2.38,1,0
