city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Ipê,RS,6689,14.48,969,10,0.15,1.03,0,0
Iraí,RS,7141,9.05,646,16,0.22,2.47,0,0
Itaara,RS,5537,10.42,577,16,0.29,2.77,1,0
Itacurubi,RS,3460,2.02,70,5,0.14,7.04,0,0
Itapuca,RS,2065,10.07,208,3,0.15,1.44,0,0
Itaqui,RS,37489,10.78,4041,67,0.18,1.66,1,0
Itati,RS,2397,7.38,177,11,0.46,6.18,0,0
Itatiba do Sul,RS,3231,7.33,237,3,0.09,1.26,0,0
Ivorá,RS,1881,5.47,103,1,0.05,0.96,0,0
Ivoti,RS,24690,13.58,3352,66,0.27,1.97,1,0
Jaboticaba,RS,3773,7.95,300,11,0.29,3.65,0,0
Jacuizinho,RS,2706,6.02,163,1,0.04,0.61,0,0
Jacutinga,RS,3546,10.23,363,3,0.08,0.82,0,0
Jaguari,RS,10765,8.94,963,34,0.32,3.53,0,0
Jaguarão,RS,26500,10.46,2772,51,0.19,1.84,0,0
Jaquirana,RS,3662,15.83,580,10,0.27,1.72,0,0
Jari,RS,3486,4.88,170,3,0.09,1.75,0,0
Jóia,RS,8566,10.90,934,20,0.23,2.14,1,0
Júlio de Castilhos,RS,19224,11.73,2256,41,0.21,1.82,0,0
Lagoa Bonita do Sul,RS,2921,1.40,41,1,0.03,2.38,0,0
Lagoa Vermelha,RS,27778,14.63,4063,92,0.33,2.26,1,0
Lagoa dos Três Cantos,RS,1607,16.98,273,5,0.31,1.82,0,0
Lagoão,RS,6461,8.56,553,13,0.20,2.35,0,0
Lajeado,RS,85033,17.00,14454,193,0.23,1.34,7,0
Lajeado do Bugre,RS,2566,11.18,287,17,0.66,5.90,0,0
Lavras do Sul,RS,7444,5.55,413,12,0.16,2.90,0,0
Liberato Salzano,RS,5152,9.08,468,11,0.21,2.35,0,0
Lindolfo Collor,RS,6125,15.16,929,13,0.21,1.40,0,0
Linha Nova,RS,1719,11.69,201,2,0.12,0.99,0,0
Machadinho,RS,5427,14.59,792,12,0.22,1.51,0,0
Mampituba,RS,2973,13.95,415,4,0.13,0.96,0,0
Manoel Viana,RS,7307,7.09,518,11,0.15,2.12,0,0
Maquiné,RS,6681,12.30,822,21,0.31,2.55,0,0
Maratá,RS,2702,9.95,269,4,0.15,1.48,0,0
Marau,RS,44858,16.81,7541,107,0.24,1.42,5,0
Marcelino Ramos,RS,4319,8.26,357,6,0.14,1.68,0,0
Mariana Pimentel,RS,3888,6.94,270,4,0.10,1.48,0,0
Mariano Moro,RS,2009,10.90,219,4,0.20,1.82,0,0
Marques de Souza,RS,3995,8.31,332,8,0.20,2.40,0,0
Mata,RS,4797,10.21,490,12,0.25,2.44,0,0
Mato Castelhano,RS,2542,15.57,396,15,0.59,3.78,0,0
Mato Leitão,RS,4573,18.54,848,8,0.17,0.94,0,0
Mato Queimado,RS,1629,5.15,84,4,0.25,4.71,0,0
Maximiliano de Almeida,RS,4314,13.86,598,12,0.28,2.00,0,0
Maçambará,RS,4562,9.62,439,6,0.13,1.36,0,0
Minas do Leão,RS,8103,8.19,664,10,0.12,1.50,1,1
Miraguaí,RS,4911,12.85,631,15,0.31,2.37,0,0
Montauri,RS,1441,18.59,268,7,0.49,2.60,1,0
Monte Alegre dos Campos,RS,3232,4.52,146,5,0.15,3.40,0,0
Monte Belo do Sul,RS,2530,10.43,264,6,0.24,2.26,-1,0
Montenegro,RS,65721,14.14,9292,162,0.25,1.74,2,0
Mormaço,RS,3113,12.33,384,6,0.19,1.56,-1,0
Morrinhos do Sul,RS,2919,12.77,373,4,0.14,1.07,0,0
Morro Redondo,RS,6589,6.87,453,15,0.23,3.30,0,0
Morro Reuter,RS,6513,13.26,864,17,0.26,1.97,-1,0
Mostardas,RS,12847,6.50,835,20,0.16,2.39,0,0
Muitos Capões,RS,3173,4.47,142,6,0.19,4.20,0,0
Muliterno,RS,1897,12.91,245,2,0.11,0.81,0,0
Muçum,RS,4961,16.73,830,13,0.26,1.56,0,0
Nicolau Vergueiro,RS,1674,6.27,105,6,0.36,5.66,0,0
Nonoai,RS,11633,16.37,1905,47,0.40,2.47,2,0
Nova Alvorada,RS,3663,17.88,655,6,0.16,0.91,0,0
Nova Araçá,RS,4826,23.74,1146,10,0.21,0.87,0,0
Nova Bassano,RS,10005,18.03,1804,14,0.14,0.78,3,0
Nova Boa Vista,RS,1753,18.24,320,2,0.11,0.62,0,0
Nova Bréscia,RS,3337,15.61,521,11,0.33,2.11,0,0
Nova Candelária,RS,2688,16.47,443,5,0.19,1.13,-1,0
Nova Esperança do Sul,RS,5410,20.83,1127,10,0.18,0.89,0,0
Nova Hartz,RS,21875,11.88,2599,69,0.32,2.65,0,0
Nova Palma,RS,6515,9.36,610,11,0.17,1.80,0,0
Nova Petrópolis,RS,21536,14.79,3186,59,0.27,1.85,2,0
Nova Prata,RS,27648,13.84,3826,54,0.20,1.41,2,0
Nova Pádua,RS,2558,14.26,365,10,0.39,2.73,0,0
Nova Ramada,RS,2218,15.68,348,4,0.18,1.15,0,0
Nova Roma do Sul,RS,3717,11.00,409,5,0.13,1.22,2,0
Nova Santa Rita,RS,29905,7.76,2321,94,0.31,4.05,3,0
Novo Barreiro,RS,4175,19.92,832,23,0.55,2.76,0,0
Novo Cabrais,RS,4222,12.55,530,6,0.14,1.13,0,0
Novo Hamburgo,RS,247032,11.45,28296,903,0.37,3.19,12,0
Novo Machado,RS,3256,5.13,167,4,0.12,2.38,0,0
Novo Tiradentes,RS,2200,5.32,117,0,0.00,0.00,0,0
Novo Xingu,RS,1712,10.97,188,4,0.23,2.12,0,0
Não-Me-Toque,RS,17758,16.05,2850,57,0.32,2.00,16,0
Osório,RS,46414,19.73,9156,154,0.33,1.68,2,0
Paim Filho,RS,3778,14.90,563,1,0.03,0.18,0,0
Palmares do Sul,RS,11330,10.78,1222,35,0.31,2.86,1,0
Palmeira das Missões,RS,33131,13.17,4365,94,0.28,2.15,7,1
Palmitinho,RS,7056,13.12,926,12,0.17,1.29,0,0
Panambi,RS,44128,16.23,7164,119,0.27,1.66,5,0
Pantano Grande,RS,9083,13.12,1192,25,0.28,2.10,0,0
Paraí,RS,7727,19.42,1501,22,0.28,1.46,0,0
Paraíso do Sul,RS,7623,7.74,590,15,0.20,2.54,0,0
Pareci Novo,RS,3862,15.14,585,6,0.16,1.02,0,0
Parobé,RS,58858,12.85,7562,220,0.37,2.91,0,0
Passa Sete,RS,5747,4.84,278,6,0.10,2.15,0,0
Passo Fundo,RS,204722,17.40,35620,659,0.32,1.85,37,2
Passo do Sobrado,RS,6574,10.13,666,14,0.21,2.10,0,0
Paulo Bento,RS,2299,12.00,276,2,0.09,0.72,0,0
Paverama,RS,8515,7.59,646,18,0.21,2.78,1,0
Pedras Altas,RS,1954,8.80,172,2,0.10,1.16,0,0
Pedro Osório,RS,7706,10.74,828,25,0.32,3.02,0,0
Pejuçara,RS,3857,12.03,464,7,0.18,1.51,0,0
Pelotas,RS,343132,12.05,41331,1069,0.31,2.59,80,1
Picada Café,RS,5738,8.09,464,9,0.16,1.94,0,0
Pinhal,RS,2580,14.26,368,4,0.15,1.08,0,0
Pinhal Grande,RS,4329,5.24,227,4,0.09,1.75,0,0
Pinhal da Serra,RS,1918,13.50,259,6,0.31,2.31,0,0
Pinheirinho do Vale,RS,4899,7.78,381,7,0.14,1.83,0,0
Pinheiro Machado,RS,12195,11.12,1356,28,0.23,2.06,1,0
Pinto Bandeira,RS,3036,10.37,315,5,0.16,1.58,0,0
Pirapó,RS,2254,7.27,164,16,0.71,9.70,0,0
Piratini,RS,20704,5.24,1085,32,0.15,2.95,5,0
Planalto,RS,10019,7.04,705,17,0.17,2.41,0,0
Ponte Preta,RS,1524,12.00,183,2,0.13,1.09,0,0
Pontão,RS,3901,8.76,342,10,0.26,2.92,0,0
Porto Alegre,RS,1488252,11.32,168459,5363,0.36,3.18,70,6
Porto Lucena,RS,4594,8.64,397,6,0.13,1.51,0,0
Porto Mauá,RS,2352,8.29,195,7,0.30,3.57,0,0
Porto Vera Cruz,RS,1308,9.78,128,5,0.38,3.88,0,0
Porto Xavier,RS,10194,16.99,1732,54,0.53,3.12,0,0
Portão,RS,37561,10.49,3940,124,0.33,3.15,3,0
Pouso Novo,RS,1612,10.11,163,4,0.25,2.44,0,0
Poço das Antas,RS,2101,13.18,277,1,0.05,0.36,3,0
Presidente Lucena,RS,2937,15.62,459,4,0.14,0.87,0,0
Progresso,RS,6239,11.03,688,13,0.21,1.89,0,0
Protásio Alves,RS,1938,6.50,126,6,0.31,4.72,0,0
Putinga,RS,3889,16.02,623,19,0.49,3.04,0,0
Quaraí,RS,22607,10.24,2316,59,0.26,2.55,1,0
Quatro Irmãos,RS,1856,5.17,96,3,0.16,3.09,0,0
Quevedos,RS,2790,9.10,254,1,0.04,0.39,0,0
Quinze de Novembro,RS,3803,15.48,589,11,0.29,1.86,-1,0
Redentora,RS,11669,8.24,962,28,0.24,2.91,0,0
Relvado,RS,2079,7.88,164,4,0.19,2.42,0,0
Restinga Sêca,RS,15744,10.79,1699,38,0.24,2.24,1,0
Rio Grande,RS,211965,10.24,21714,547,0.26,2.52,23,2
Rio Pardo,RS,38265,8.46,3237,96,0.25,2.96,2,0
Rio dos Índios,RS,2660,10.33,275,10,0.38,3.62,0,0
Riozinho,RS,4676,10.78,504,13,0.28,2.57,0,0
Roca Sales,RS,11471,9.56,1097,25,0.22,2.28,0,0
Rodeio Bonito,RS,5868,11.84,695,6,0.10,0.86,-1,0
Rolador,RS,2296,10.40,239,4,0.17,1.67,0,0
Rolante,RS,21453,16.19,3473,56,0.26,1.61,1,0
Ronda Alta,RS,10617,14.21,1509,24,0.23,1.59,0,0
Rondinha,RS,5080,14.94,759,12,0.24,1.58,0,0
Roque Gonzales,RS,6797,10.00,680,8,0.12,1.17,0,0
Rosário do Sul,RS,39314,9.84,3867,105,0.27,2.71,1,0
Sagrada Família,RS,2605,18.46,481,10,0.38,2.07,0,0
Saldanha Marinho,RS,2622,16.36,429,12,0.46,2.79,1,0
Salto do Jacuí,RS,12481,9.55,1192,21,0.17,1.76,0,0
Salvador das Missões,RS,2733,15.03,411,9,0.33,2.18,0,0
Salvador do Sul,RS,7889,10.03,791,4,0.05,0.51,1,0
Sananduva,RS,16328,18.41,3006,37,0.23,1.23,0,0
Sant'Ana do Livramento,RS,76321,12.93,9871,179,0.23,1.81,2,0
Santa Bárbara do Sul,RS,7909,16.49,1304,44,0.56,3.37,0,0
Santa Cecília do Sul,RS,1634,33.58,549,3,0.18,0.55,0,0
Santa Clara do Sul,RS,6681,7.62,509,7,0.10,1.37,1,0
Santa Cruz do Sul,RS,131365,15.30,20105,332,0.25,1.65,12,0
Santa Margarida do Sul,RS,2578,9.00,232,5,0.19,2.15,0,0
Santa Maria,RS,283677,13.44,38118,814,0.29,2.14,9,1
Santa Maria do Herval,RS,6364,10.37,660,14,0.22,2.12,1,0
Santa Rosa,RS,73575,18.66,13729,202,0.27,1.47,1,0
Santa Tereza,RS,1726,13.55,234,3,0.17,1.28,2,0
Santa Vitória do Palmar,RS,29483,12.09,3566,51,0.17,1.43,0,0
Santana da Boa Vista,RS,8067,4.18,337,11,0.14,3.25,0,0
Santiago,RS,49360,14.00,6911,154,0.31,2.23,31,0
Santo Antônio da Patrulha,RS,43171,11.87,5126,148,0.34,2.89,5,0
Santo Antônio das Missões,RS,10050,4.94,497,32,0.32,6.43,0,0
Santo Antônio do Palma,RS,2123,8.80,187,3,0.14,1.60,0,0
Santo Antônio do Planalto,RS,2019,7.62,154,2,0.10,1.29,0,0
Santo Augusto,RS,13848,12.33,1708,33,0.24,1.93,2,0
Santo Cristo,RS,14216,12.35,1756,30,0.21,1.71,0,0
Santo Expedito do Sul,RS,2305,10.93,252,6,0.26,2.37,1,0
Santo Ângelo,RS,77568,13.14,10190,276,0.36,2.71,12,0
Sapiranga,RS,80037,16.37,13102,326,0.41,2.49,18,1
Sapucaia do Sul,RS,141808,11.27,15975,496,0.35,3.10,6,0
Sarandi,RS,24763,15.06,3730,64,0.26,1.72,1,0
Seberi,RS,10713,20.42,2188,33,0.31,1.51,0,0
Sede Nova,RS,2891,9.65,279,6,0.21,2.14,0,0
Segredo,RS,7444,9.07,675,7,0.09,1.04,0,0
Selbach,RS,5107,14.57,744,24,0.47,3.22,3,0
Senador Salgado Filho,RS,2770,13.06,362,3,0.11,0.83,0,0
Sentinela do Sul,RS,5609,9.86,553,17,0.30,3.07,0,0
Serafina Corrêa,RS,17795,15.05,2678,35,0.20,1.31,1,0
Sertão,RS,5315,13.22,703,16,0.30,2.27,0,0
Sertão Santana,RS,6537,10.68,698,10,0.15,1.43,1,0
Sete de Setembro,RS,1950,5.48,107,5,0.26,4.63,0,0
Severiano de Almeida,RS,3631,11.12,404,4,0.11,0.99,0,0
Silveira Martins,RS,2374,8.59,204,9,0.38,4.39,0,0
Sinimbu,RS,10162,9.19,934,22,0.22,2.35,0,0
Sobradinho,RS,15005,10.93,1640,30,0.20,1.83,0,0
Soledade,RS,31035,13.20,4098,88,0.28,2.15,1,0
São Borja,RS,60019,16.24,9748,255,0.42,2.62,3,0
São Domingos do Sul,RS,3083,14.69,453,5,0.16,1.10,0,0
São Francisco de Assis,RS,18205,9.70,1766,32,0.18,1.81,1,0
São Francisco de Paula,RS,21801,7.39,1612,46,0.21,2.85,0,0
São Gabriel,RS,62147,13.53,8411,273,0.44,3.25,2,0
São Jerônimo,RS,24412,6.62,1617,74,0.30,4.57,0,0
São Jorge,RS,2816,13.49,380,11,0.39,2.89,1,0
São José das Missões,RS,2514,12.88,324,3,0.12,0.92,0,0
São José do Herval,RS,1943,11.11,216,2,0.10,0.92,1,0
São José do Hortêncio,RS,4865,12.25,596,10,0.21,1.68,0,0
São José do Inhacorá,RS,2056,21.88,450,2,0.10,0.44,0,0
São José do Norte,RS,27721,5.20,1441,45,0.16,3.12,0,0
São José do Ouro,RS,6922,14.49,1003,15,0.22,1.49,-1,0
São José do Sul,RS,2437,11.65,284,5,0.21,1.75,0,0
São José dos Ausentes,RS,3543,19.33,685,13,0.37,1.90,0,0
São João da Urtiga,RS,4641,17.86,829,6,0.13,0.72,1,0
São João do Polêsine,RS,2543,15.80,402,6,0.24,1.49,0,0
São Leopoldo,RS,238648,11.04,26339,719,0.30,2.73,117,1
São Lourenço do Sul,RS,43540,7.86,3422,74,0.17,2.16,0,0
São Luiz Gonzaga,RS,33293,11.95,3977,99,0.30,2.49,0,0
São Marcos,RS,21658,16.98,3677,63,0.29,1.71,4,0
São Martinho,RS,5380,14.38,774,12,0.22,1.55,0,0
São Martinho da Serra,RS,3231,3.19,103,5,0.15,4.81,0,0
São Miguel das Missões,RS,7683,10.40,799,16,0.21,2.00,0,0
São Nicolau,RS,5208,1.36,71,7,0.13,9.72,0,0
São Paulo das Missões,RS,5720,10.24,586,8,0.14,1.36,0,0
São Pedro da Serra,RS,3842,9.42,362,2,0.05,0.55,0,0
São Pedro das Missões,RS,2017,15.66,316,10,0.50,3.15,0,0
São Pedro do Butiá,RS,2949,13.19,389,6,0.20,1.54,0,0
São Pedro do Sul,RS,16148,10.55,1703,35,0.22,2.05,0,0
São Sebastião do Caí,RS,25959,13.38,3473,57,0.22,1.64,1,0
São Sepé,RS,23555,8.46,1994,60,0.25,3.01,1,0
São Valentim,RS,3259,8.50,277,4,0.12,1.44,0,0
São Valentim do Sul,RS,2245,14.92,335,4,0.18,1.19,0,0
São Valério do Sul,RS,2729,5.09,139,3,0.11,2.14,0,0
São Vendelino,RS,2266,16.89,383,6,0.26,1.56,0,0
São Vicente do Sul,RS,8732,6.66,582,19,0.22,3.26,0,0
Sério,RS,1924,10.96,211,7,0.36,3.30,0,0
Tabaí,RS,4769,11.61,554,7,0.15,1.26,0,0
Tapejara,RS,24552,19.31,4742,55,0.22,1.16,1,0
Tapera,RS,10577,15.44,1633,44,0.42,2.69,2,0
Tapes,RS,17332,7.06,1223,61,0.35,4.98,0,0
Taquara,RS,57584,9.56,5503,176,0.31,3.20,3,0
Taquari,RS,26885,12.39,3330,71,0.26,2.13,2,0
Taquaruçu do Sul,RS,3077,18.13,558,8,0.26,1.43,0,0
Tavares,RS,5483,7.80,428,11,0.20,2.56,0,0
Tenente Portela,RS,13434,12.91,1734,32,0.24,1.84,0,0
Terra de Areia,RS,11315,6.11,691,50,0.44,7.23,0,0
Teutônia,RS,33766,14.72,4971,88,0.26,1.77,7,0
Tio Hugo,RS,3055,13.74,420,9,0.29,2.14,0,0
Tiradentes do Sul,RS,5616,4.52,254,6,0.11,2.35,0,0
Toropi,RS,2772,12.15,337,12,0.43,3.55,0,0
Torres,RS,39064,15.17,5927,111,0.28,1.87,1,0
Tramandaí,RS,52632,12.12,6377,207,0.39,3.25,9,0
Travesseiro,RS,2334,9.08,212,6,0.26,2.82,0,0
Trindade do Sul,RS,5791,14.09,816,17,0.29,2.08,0,0
Triunfo,RS,29856,8.65,2582,89,0.30,3.45,0,0
Três Arroios,RS,2643,8.77,232,2,0.08,0.86,0,0
Três Cachoeiras,RS,11115,10.55,1173,27,0.24,2.30,0,0
Três Coroas,RS,28581,10.27,2934,71,0.25,2.42,1,0
Três Forquilhas,RS,2669,15.28,408,6,0.22,1.47,0,0
Três Palmeiras,RS,4251,13.57,577,17,0.40,2.94,0,0
Três Passos,RS,23852,12.28,2928,67,0.28,2.29,0,0
Três de Maio,RS,23876,13.72,3277,43,0.18,1.31,0,0
Tucunduva,RS,5644,14.77,834,18,0.32,2.16,0,0
Tunas,RS,4577,6.20,284,13,0.28,4.56,0,0
Tupanci do Sul,RS,1459,7.05,103,3,0.21,2.88,0,0
Tupanciretã,RS,24068,11.01,2650,48,0.20,1.81,3,0
Tupandi,RS,4939,15.26,754,11,0.22,1.46,0,0
Tuparendi,RS,7810,14.68,1147,17,0.22,1.48,0,0
Turuçu,RS,3423,8.85,303,7,0.20,2.30,0,0
Ubiretama,RS,1983,5.39,107,2,0.10,1.85,0,0
Unistalda,RS,2321,7.62,177,4,0.17,2.25,1,0
União da Serra,RS,1118,6.43,72,1,0.09,1.37,0,0
Uruguaiana,RS,126866,11.08,14061,433,0.34,3.08,0,0
Vacaria,RS,66575,14.50,9655,214,0.32,2.22,4,0
Vale Real,RS,5981,12.05,721,12,0.20,1.66,0,0
Vale Verde,RS,3515,7.00,246,6,0.17,2.43,0,0
Vale do Sol,RS,11828,7.70,911,19,0.16,2.08,0,0
Vanini,RS,2122,15.59,331,3,0.14,0.90,0,0
Venâncio Aires,RS,71973,14.00,10073,132,0.18,1.31,0,0
Vera Cruz,RS,27099,12.70,3442,50,0.18,1.45,2,0
Veranópolis,RS,26533,17.76,4713,65,0.24,1.38,12,0
Vespasiano Corrêa,RS,1795,16.65,299,8,0.45,2.67,0,0
Viadutos,RS,4690,10.40,488,11,0.23,2.25,0,0
Viamão,RS,256302,4.97,12742,725,0.28,5.69,17,0
Vicente Dutra,RS,4599,5.78,266,6,0.13,2.25,0,0
Victor Graeff,RS,2860,14.51,415,7,0.24,1.68,0,0
Vila Flores,RS,3396,23.67,804,11,0.32,1.37,1,0
Vila Lângaro,RS,2080,13.65,284,2,0.10,0.70,0,0
Vila Maria,RS,4363,16.59,724,9,0.21,1.24,0,0
Vila Nova do Sul,RS,4277,9.05,387,9,0.21,2.32,0,0
Vista Alegre,RS,2739,12.74,349,6,0.22,1.71,0,0
Vista Alegre do Prata,RS,1557,7.51,117,5,0.32,4.24,0,0
Vista Gaúcha,RS,2855,9.21,263,13,0.46,4.92,0,0
Vitória das Missões,RS,3092,11.02,341,11,0.36,3.22,0,0
Westfália,RS,3031,11.94,362,7,0.23,1.93,0,0
Xangri-lá,RS,16775,13.13,2203,46,0.27,2.09,0,0
Água Santa,RS,3743,14.88,557,11,0.29,1.97,-1,0
Áurea,RS,3535,9.02,319,6,0.17,1.88,0,0
Abdon Batista,SC,2548,17.22,439,4,0.16,0.91,0,0
Abelardo Luz,SC,17960,9.20,1652,60,0.33,3.63,1,0
Agrolândia,SC,11013,15.14,1667,29,0.26,1.74,6,0
Agronômica,SC,5509,12.12,668,13,0.24,1.94,0,0
Alfredo Wagner,SC,10086,10.85,1094,7,0.07,0.64,0,0
Alto Bela Vista,SC,1926,10.33,199,3,0.16,1.50,0,0
Anchieta,SC,5557,12.41,690,9,0.16,1.30,0,0
Angelina,SC,4743,11.45,543,2,0.04,0.37,1,0
Anita Garibaldi,SC,6957,17.30,1204,10,0.14,0.83,1,0
Anitápolis,SC,3228,10.68,345,5,0.15,1.45,0,0
Antônio Carlos,SC,8613,19.05,1641,27,0.31,1.64,-2,0
Apiúna,SC,10848,7.86,853,18,0.17,2.11,1,0
Arabutã,SC,4267,9.82,419,8,0.19,1.90,0,0
Araquari,SC,39524,9.72,3840,83,0.21,2.16,1,0
Araranguá,SC,68867,15.84,10908,247,0.36,2.26,5,0
Armazém,SC,8759,16.31,1429,31,0.35,2.17,2,0
Arroio Trinta,SC,3549,17.10,607,14,0.39,2.30,0,0
Arvoredo,SC,2234,14.27,319,4,0.18,1.25,0,0
Ascurra,SC,7978,15.63,1247,11,0.14,0.88,5,0
Atalanta,SC,3195,15.64,500,11,0.34,2.20,8,0
Aurora,SC,5683,15.46,879,16,0.28,1.82,1,0
Balneário Arroio do Silva,SC,13430,15.89,2134,58,0.43,2.72,3,0
Balneário Barra do Sul,SC,11035,13.24,1461,44,0.40,3.01,-1,0
Balneário Camboriú,SC,145796,17.60,25663,387,0.27,1.51,79,0
Balneário Gaivota,SC,11260,11.93,1343,38,0.34,2.83,0,0
Balneário Piçarras,SC,23772,21.97,5222,57,0.24,1.09,19,0
Balneário Rincão,SC,12946,11.28,1460,51,0.39,3.49,0,0
Bandeirante,SC,2648,15.93,422,4,0.15,0.95,1,0
Barra Bonita,SC,1651,11.74,194,2,0.12,1.03,0,0
Barra Velha,SC,29860,15.58,4651,116,0.39,2.49,13,1
Bela Vista do Toldo,SC,6362,1.27,81,3,0.05,3.66,0,0
Belmonte,SC,2709,12.25,332,5,0.18,1.50,2,0
Benedito Novo,SC,11775,9.06,1067,19,0.16,1.78,-1,0
Biguaçu,SC,69486,16.22,11273,167,0.24,1.48,9,0
Blumenau,SC,361855,15.47,55997,626,0.17,1.12,155,1
Bocaina do Sul,SC,3488,11.21,391,3,0.09,0.77,0,0
Bom Jardim da Serra,SC,4772,14.44,689,6,0.13,0.87,2,0
Bom Jesus,SC,3057,14.98,458,9,0.29,1.96,0,0
Bom Jesus do Oeste,SC,2139,8.55,183,6,0.28,3.26,0,0
Bom Retiro,SC,10060,8.86,891,20,0.20,2.24,2,0
Bombinhas,SC,20335,17.43,3544,61,0.30,1.72,2,0
Botuverá,SC,5322,17.41,927,10,0.19,1.08,0,0
Braço do Norte,SC,33876,25.13,8514,108,0.32,1.27,4,0
Braço do Trombudo,SC,3769,19.12,721,7,0.19,0.97,0,0
Brunópolis,SC,2368,12.66,300,8,0.34,2.66,0,0
Brusque,SC,137689,20.90,28777,306,0.22,1.06,94,0
Caibi,SC,6130,11.03,676,13,0.21,1.92,1,0
Calmon,SC,3335,1.47,49,7,0.21,14.00,0,0
Camboriú,SC,85105,15.63,13299,165,0.19,1.24,26,0
Campo Alegre,SC,11981,11.20,1342,40,0.33,2.98,0,0
Campo Belo do Sul,SC,6952,10.93,760,23,0.33,3.02,0,0
Campo Erê,SC,8418,15.96,1344,20,0.24,1.49,3,0
Campos Novos,SC,36556,16.14,5899,119,0.33,2.02,0,0
Canelinha,SC,12398,11.40,1413,17,0.14,1.20,1,0
Canoinhas,SC,54480,12.54,6831,104,0.19,1.52,14,0
Capinzal,SC,23035,22.22,5119,50,0.22,0.98,1,0
Capivari de Baixo,SC,25177,18.28,4603,80,0.32,1.74,13,0
Capão Alto,SC,2496,7.21,180,2,0.08,1.10,0,0
Catanduvas,SC,10984,18.44,2026,30,0.27,1.48,4,0
Caxambu do Sul,SC,3551,15.06,535,10,0.28,1.87,3,0
Caçador,SC,79313,8.20,6501,288,0.36,4.43,24,0
Celso Ramos,SC,2719,16.88,459,6,0.22,1.30,2,0
Cerro Negro,SC,3068,5.67,174,4,0.13,2.29,0,0
Chapadão do Lageado,SC,3006,13.30,400,5,0.17,1.25,0,1
Chapecó,SC,224013,16.99,38054,688,0.31,1.81,151,1
Cocal do Sul,SC,16821,21.30,3583,62,0.37,1.73,2,0
Concórdia,SC,75167,21.47,16141,208,0.28,1.29,65,0
Cordilheira Alta,SC,4520,13.27,600,8,0.18,1.33,0,0
Coronel Freitas,SC,9940,17.15,1705,26,0.26,1.52,0,0
Coronel Martins,SC,2555,8.57,219,3,0.12,1.36,0,0
Correia Pinto,SC,12553,14.70,1845,59,0.47,3.20,0,0
Corupá,SC,16107,12.11,1951,40,0.25,2.05,0,0
Criciúma,SC,217311,17.42,37866,635,0.29,1.68,26,6
Cunha Porã,SC,11118,9.54,1061,25,0.22,2.35,0,0
Cunhataí,SC,1967,9.76,192,1,0.05,0.52,0,0
Curitibanos,SC,39893,12.77,5093,175,0.44,3.44,13,0
Descanso,SC,8192,13.13,1076,19,0.23,1.76,1,0
Dionísio Cerqueira,SC,15545,13.03,2026,48,0.31,2.37,4,0
Dona Emma,SC,4186,11.92,499,4,0.10,0.80,0,0
Doutor Pedrinho,SC,4115,10.88,448,6,0.15,1.34,0,0
Entre Rios,SC,3218,20.81,670,9,0.28,1.34,0,0
Ermo,SC,2061,17.65,364,5,0.24,1.37,0,0
Erval Velho,SC,4418,20.00,884,12,0.27,1.36,0,0
Faxinal dos Guedes,SC,10649,17.35,1848,32,0.30,1.73,9,0
Flor do Sertão,SC,1579,11.71,185,0,0.00,0.00,0,0
Florianópolis,SC,508826,15.56,79176,1024,0.20,1.29,67,2
Formosa do Sul,SC,2495,16.27,406,7,0.28,1.72,1,0
Forquilhinha,SC,27211,23.67,6440,62,0.23,0.96,2,0
Fraiburgo,SC,36584,13.36,4889,112,0.31,2.29,5,0
Frei Rogério,SC,1970,17.76,350,8,0.41,2.28,0,0
Galvão,SC,2791,16.19,452,9,0.32,1.99,0,0
Garopaba,SC,23579,14.39,3393,42,0.18,1.24,-12,0
Garuva,SC,18484,11.22,2074,32,0.17,1.54,13,0
Gaspar,SC,70793,11.88,8411,176,0.25,2.09,16,0
Governador Celso Ramos,SC,14606,18.53,2706,27,0.18,1.00,0,0
Gravatal,SC,11577,18.61,2155,48,0.41,2.23,0,0
Grão Pará,SC,6595,20.69,1365,11,0.17,0.81,3,0
Guabiruba,SC,24382,15.62,3809,47,0.19,1.23,2,0
Guaraciaba,SC,10026,19.75,1980,27,0.27,1.36,3,0
Guaramirim,SC,45797,14.45,6618,88,0.19,1.33,4,1
Guarujá do Sul,SC,5178,10.66,552,11,0.21,1.99,0,0
Guatambú,SC,4698,17.58,826,17,0.36,2.06,6,0
Herval d'Oeste,SC,22714,19.74,4483,64,0.28,1.43,23,0
Ibiam,SC,1954,13.20,258,4,0.20,1.54,0,0
Ibicaré,SC,3178,16.58,527,8,0.25,1.52,1,0
Ibirama,SC,19096,8.91,1702,34,0.18,2.00,-1,0
Ilhota,SC,14359,13.14,1887,34,0.24,1.80,0,1
Imaruí,SC,9948,10.56,1051,21,0.21,2.00,0,0
Imbituba,SC,45286,15.15,6863,107,0.24,1.56,5,0
Imbuia,SC,6241,9.92,619,9,0.14,1.45,1,0
Indaial,SC,70900,14.62,10369,127,0.18,1.22,24,1
Iomerê,SC,2962,10.73,318,10,0.34,3.13,1,0
Ipira,SC,4406,10.37,457,7,0.16,1.53,-1,0
Iporã do Oeste,SC,9045,9.12,825,12,0.13,1.45,3,0
